term,pos,comment,translation_ro,comment_ro
 Increases Constitution by <%= con %>.,,,,
API Token,Noun,,Token API,
Abominable Stressbeast,Noun,,Abominabila Bestie a Stresului,
Acolyte,Noun,person assisting in a religious service,Acolit,
Adoring Friends,Noun,,Prieteni iubitori,
Alexander the Merchant,,,Vânzătorul Alexandru,
Annoying Friends,Noun,,Prieteni Enervanţi,
Attribute points,Noun,,,
Back Corner,Noun,,Back Corner,
Backseat Modding,Noun,,,
Bad Habits ,Noun,,Obiceiuri Rele,
Badge,Noun,,Medalie,
Badges,Noun,,,
Bailey the Town Crier,Noun,,Bailey Crainica,
Balance Ball,,,,
Bangs,Noun,as related to hair,Breton,
Bard,Noun,,Cântăreţ,
Based on,Verb,,,
Beast Master,Noun,,Stăpânul fiarelor,
Beastmaster,Noun,,Stăpânul fiarelor,
Birthday Bash,Noun,,,
Blacksmith,Noun,,Fierar,
Boss,,Not the boss of a shield (bulla or umbo).,Super Monstru,
Brutal Smash,Noun,,,
Buffs,,,Sporuri,
Bug,Noun,informática; computers,Bug,defecţiune? eroare?
Burst of Flames,Noun,,,
CON,Noun,Constitution,,
Cape,Noun,,,
Cerberus,Noun,"Cerberus in Greek and Roman mythology, is a multi-headed dog, or ""hellhound"" with a serpent's tail, a mane of snakes, and a lion's claws. He guards the entrance of the Greek underworld to prevent the dead from escaping and the living from entering. (from Wikipedia)",Cerber,
Change,Noun,,,
Change,Verb,,,
Character Build,,,Definire Caracter,
Checklist,Noun,,Listă,
Community Guidelines,Noun,,Regulile Comunităţii,
Confers no benefit,,,,
Constitution,Noun,,Constituție,CONstituţie
Contributor Tiers,Noun,,,
Crevasse,Noun,,,
Crown,,,,
Customization,Noun,,,
Customizations,Noun,,,
Customize,Verb,,,
Daniel the Barkeep,Noun,,,
Day,Noun,,,
Deer,Noun,,,
Dilatory,Adjective,slow to act,,
Dread Drag'on,Noun,,,
Due Date,Noun,,,
Enchanted Armoire,Noun,,,
Enchanted Armoire: Independent Item.,,,,
Ethereal,Adjective,,,
Feature,Noun,,facilitate,
Find the Cub,,,Găseşte puiul,"deși în cazul ăsta e vorba de un ursuleț, pentru glosar ar trebui să folosim sensul general"
Forest Walker,Noun,,,
Fortify Potion,Noun,,,
Found,Adjective,,,
Game Master,Pronoun,,Stăpânul jocului,
Gold,Noun,,,
Good habits,Noun,,,
Grand Gala,Noun,http://habitrpg.wikia.com/wiki/Grand_Galas,,
Greatly Grateful,Noun,,,
HP,Noun,,,
Habit City,Noun,,,
HabitRPG,Noun,Should be left HabitRPG per their own instructions,,
HabitRPG proper,Noun,,,
Habiteer,Noun,,,
Habitica,Noun,,Habitica,
Habitican,Noun,,,
Habiticans,Noun,,,
Hairbow,Noun,,,
Hall,,,Hală,
Harass,Verb,,,
Harpy,Noun,,,
Healer,Noun,,Vindecător,
Healers,Noun,,,
Healing Light,Noun,,,
Health Potion,Noun,,,
Hedgebeast,Noun,,Aricioșenie,
Heroic,,,,
Hippogriff,Noun,,,
Hydra,Noun,,Hidră,
INT,Noun,Intelligence (attribute),,
Icicle Drake,Noun,,,
Increases Constitution and Intelligence by <%= attrs %> each.,,,,
Increases Intelligence by <%= int %> and Perception by <%= per %>.,,,,
Increases Intelligence by <%= int %>.,,should be written the same way for every piece of gear that increases INT,,
Increases Perception by <%= per %>.,,,,
Increases Strength and Perception by <%= attrs %> each.,,,,
"Increases Strength by <%= str %>, Perception by <%= per %>, and Constitution by <%= con %>.",,,,
"Increases Strength by <%= str %>, Perception by <%= per %>, and Intelligence by <%= int %>.",,,,
Increases Strength by <%= str %>.,,,,
